date	close	volume	open	high	low
22/3/16	234.24	4303052	237.21	238.99	232.558
23/3/16	222.58	4936203	232.37	234.73	222.03
24/3/16	227.75	4956604	215.78	228.8877	215
28/3/16	230.26	3878599	231.61	234.81	225
29/3/16	230.13	4006037	229.89	232.38	225.33
30/3/16	226.89	4025670	235.09	235.5	226.5
31/3/16	229.77	7975638	229.34	237.42	225.01
1/4/16	237.59	15979910	244.825	247.9	233.25
4/4/16	246.99	13381160	249.12	252.12	243.64
5/4/16	255.47	9931470	240.5	256.56	240
6/4/16	265.42	11695760	253.97	267.74	253.45
7/4/16	257.2	8845567	266.45	269.34	254.51
8/4/16	250.07	7352707	260.5	260.82	248.0201
11/4/16	249.92	9156404	251	258.99	245.3
12/4/16	247.82	5755351	249.5	251.8	243.63
13/4/16	254.53	4921554	248.51	255.5	247.33
14/4/16	251.86	4129258	253	256.839	251.0501
15/4/16	254.51	3748593	251.31	254.6	249.12
18/4/16	253.88	4263246	252.23	258.31	251.66
19/4/16	247.37	6351360	253.12	254.3699	241.251
20/4/16	249.97	5192343	246.26	253.66	241.5
21/4/16	248.29	2777079	248.99	250.9	246.91
22/4/16	253.75	3783126	248.89	254	245.71
25/4/16	251.82	3665088	253.01	257.38	250.76
26/4/16	253.74	3217779	252.05	255.73	249.39
27/4/16	251.47	3198105	252.75	255	249.4
28/4/16	247.71	2515595	249.85	253.43	247.44
29/4/16	240.76	5405164	248.14	248.43	237.81
2/5/16	241.8	3838958	241.5	243.19	234.82
3/5/16	232.32	4296325	237.36	238.91	231.62
